canton,year,building_type,product,n,price_median_chf_kwh,price_p10_chf_kwh,price_p90_chf_kwh,price_mean_chf_kwh,fixed_median_chf_year,fixed_p10_chf_year,fixed_p90_chf_year,grid_chf_kwh_mean,energy_supply_chf_kwh_mean,community_fees_chf_kwh_mean,kev_chf_kwh_mean,metering_var_chf_kwh_mean,price_ttc_median_chf_kwh,price_ttc_p10_chf_kwh,price_ttc_p90_chf_kwh
Bern,2024,maison_individuelle,Standard product,8.0,0.304,0.28285,0.34022600000000003,0.3067525,,,,0.13985000000000003,0.12329625,0.014114999999999999,0.023,,0.32862399999999997,0.30576085,0.367784306
Bern,2025,appartement,Cheapest product,7.0,0.22292,0.191854,0.249712,0.22095,,,,0.09310142857142857,0.10078571428571428,0.004062857142857143,0.022999999999999996,,0.24097652,0.20739417400000001,0.269938672
Bern,2025,appartement,Standard product,7.0,0.257955,0.20185399999999998,0.293093,0.24729142857142858,,,,0.09310142857142857,0.11841857142857141,0.004434285714285714,0.022999999999999996,,0.27884935499999997,0.21820417399999997,0.31683353299999995
Bern,2025,maison_individuelle,Cheapest product,8.0,0.2692,0.225518,0.313526,0.26905500000000004,,,,0.1278675,0.1032275,0.0133125,0.023,,0.29100519999999996,0.243784958,0.33892160600000004
Bern,2025,maison_individuelle,Standard product,8.0,0.29683,0.261372,0.32569899999999996,0.29462,,,,0.128480625,0.1300175,0.014114999999999999,0.023,,0.32087323,0.282543132,0.352080619
Bern,2026,appartement,Cheapest product,7.0,0.21684,0.185672,0.238578,0.21148714285714285,136.0,79.0,564.0,0.08645857142857143,0.09578428571428572,0.004062857142857143,0.022999999999999996,0.002182857142857143,0.23440404,0.200711432,0.257902818
Bern,2026,appartement,Standard product,7.0,0.24445,0.19567199999999998,0.26794799999999996,0.23368714285714284,136.0,79.0,564.0,0.08645857142857143,0.11283285714285714,0.004434285714285714,0.022999999999999996,0.0021828571428571426,0.26425044999999997,0.21152143199999998,0.28965178799999997
Bern,2026,maison_individuelle,Cheapest product,8.0,0.25744500000000003,0.217103,0.319445,0.26329749999999996,79.0,79.0,79.0,0.10880999999999999,0.0982275,0.014114999999999999,0.023,0.0183,0.278298045,0.23468834299999997,0.34532004499999996
Bern,2026,maison_individuelle,Standard product,8.0,0.28443,0.2540315,0.33255999999999997,0.28891020833333336,79.0,79.0,79.0,0.11046625,0.12125125,0.014624999999999999,0.023,0.0183,0.30746883,0.2746080515,0.35949736
Fribourg,2011,appartement,Standard product,7.0,0.19524,0.13562,0.208842,0.17577571428571429,,,,0.07329999999999999,0.09797571428571429,0.0,0.0045,,0.21105443999999998,0.14660521999999998,0.225758202
Fribourg,2011,maison_individuelle,Standard product,8.0,0.19559500000000002,0.16378600000000001,0.23551,0.19696125,,,,0.1074775,0.08498375,0.0,0.0045000000000000005,,0.211438195,0.177052666,0.25458631
Fribourg,2012,appartement,Standard product,7.0,0.18236999999999998,0.126486,0.194256,0.16351428571428572,,,,0.06505857142857142,0.09395428571428573,0.0,0.0045,,0.19714196999999997,0.136731366,0.209990736
Fribourg,2012,maison_individuelle,Standard product,8.0,0.185265,0.153003,0.223135,0.1861175,,,,0.0986975,0.08292125,0.0,0.0045000000000000005,,0.20027146499999998,0.165396243,0.24120893499999999
Fribourg,2013,appartement,Standard product,7.0,0.17956,0.125506,0.19199,0.16134714285714286,,,,0.06198714285714286,0.09485714285714288,0.0,0.0045,,0.19410436,0.135671986,0.20754119000000001
Fribourg,2013,maison_individuelle,Standard product,8.0,0.18288,0.150793,0.220745,0.1838225,,,,0.0956675,0.08365500000000001,0.0,0.0045000000000000005,,0.19769328,0.163007233,0.238625345
Fribourg,2014,appartement,Standard product,7.0,0.18579,0.13319599999999998,0.207714,0.17095285714285713,,,,0.07101,0.09394142857142859,0.0,0.005999999999999999,,0.20083899,0.14398487599999998,0.22453883400000002
Fribourg,2014,maison_individuelle,Standard product,8.0,0.19078,0.156474,0.22865,0.19101125,,,,0.10135625,0.08365500000000001,0.0,0.006,,0.20623318,0.16914839399999998,0.24717064999999996
Fribourg,2015,appartement,Standard product,7.0,0.19099,0.13869599999999999,0.212914,0.17628142857142856,,,,0.07133857142857143,0.09394142857142859,0.0,0.011,,0.20646019,0.149930376,0.23016003399999999
Fribourg,2015,maison_individuelle,Standard product,8.0,0.19598,0.16167399999999998,0.23385,0.19621125,,,,0.10155625,0.08365500000000001,0.0,0.011000000000000001,,0.21185438,0.174769594,0.25279185
Fribourg,2016,appartement,Standard product,7.0,0.18464,0.138988,0.20377,0.17223571428571427,,,,0.06529285714285714,0.09394142857142859,0.0,0.013,,0.19959584,0.150246028,0.22027537000000003
Fribourg,2016,maison_individuelle,Standard product,8.0,0.19361,0.16278800000000002,0.23033599999999999,0.19441375,,,,0.09776750000000001,0.08364625,0.0,0.013000000000000001,,0.20929241,0.175973828,0.24899321599999996
Fribourg,2017,appartement,Standard product,7.0,0.18347000000000002,0.140444,0.199778,0.17149285714285714,,,,0.06255142857142856,0.09394142857142858,0.0,0.015,,0.19833107000000003,0.15181996400000003,0.215960018
Fribourg,2017,maison_individuelle,Standard product,8.0,0.185095,0.158807,0.226356,0.18915625,,,,0.08939375,0.08476249999999999,0.0,0.015,,0.200087695,0.171670367,0.244690836
Fribourg,2018,appartement,Cheapest product,7.0,0.18834,0.145076,0.203358,0.17588,,,,0.05893857142857142,0.09394142857142858,0.0,0.022999999999999996,,0.20359554,0.156827156,0.219829998
Fribourg,2018,appartement,Standard product,7.0,0.18834,0.145076,0.20735800000000001,0.17702285714285715,,,,0.05893857142857142,0.09508428571428573,0.0,0.022999999999999996,,0.20359554,0.156827156,0.22415399800000002
Fribourg,2018,maison_individuelle,Cheapest product,8.0,0.18894,0.162964,0.230037,0.19255375,,,,0.08530125,0.08425375,0.0,0.023,,0.20424414,0.176164084,0.248669997
Fribourg,2018,maison_individuelle,Standard product,8.0,0.19294,0.166964,0.23403699999999997,0.19655375,,,,0.08530125,0.08825375,0.0,0.023,,0.20856813999999999,0.180488084,0.25299399699999997
