postcode;e;n;canton;locality
1618;2558946.206;1153010.071;FR;Châtel-St-Denis
1619;2562618.0;1152071.0;FR;Les Paccots
1623;2560999.0;1158058.0;FR;Semsales
1624;2560016.333;1159972.667;FR;Grattavache
1625;2564930.0;1165059.5;FR;Maules
1626;2563739.5;1166707.5;FR;Romanens
1627;2565422.784;1163403.747;FR;Vaulruz
1628;2567871.043;1162842.676;FR;Vuadens
1630;2570731.494;1163317.468;FR;Bulle
1632;2570856.0;1165495.0;FR;Riaz
1633;2571633.5;1167490.5;FR;Marsens
1634;2577237.153;1171634.054;FR;La Roche FR
1635;2570785.407;1161953.325;FR;La Tour-de-Trême
1636;2574197.74;1161552.486;FR;Broc
1637;2579232.074;1163301.146;FR;Charmey (Gruyère)
1638;2572784.0;1163801.0;FR;Morlon
1642;2570484.0;1168889.0;FR;Sorens
1643;2572267.0;1169639.0;FR;Gumefens
1644;2573085.0;1170649.0;FR;Avry-devant-Pont
1645;2572930.0;1172219.0;FR;Le Bry
1646;2572193.064;1166245.092;FR;Echarlens
1647;2574498.28;1167600.732;FR;Corbières
1648;2575027.0;1169205.0;FR;Hauteville
1649;2575138.0;1171755.0;FR;Pont-la-Ville
1651;2574766.0;1166019.0;FR;Villarvolard
1652;2574992.0;1163626.0;FR;Botterens
1653;2576675.933;1162918.671;FR;Crésuz
1654;2579483.0;1165737.0;FR;Cerniat FR
1656;2586342.0;1161501.0;FR;Im Fang
1657;2588576.212;1157936.819;BE;Abländschen
1658;2571454.5;1146471.5;VD;La Tine
1659;2581197.86;1149318.724;VD;Rougemont
1660;2575856.757;1143896.396;VD;Château-d'Oex
1661;2570601.54;1160327.062;FR;Le Pâquier-Montbarry
1663;2571601.609;1158843.282;FR;Epagny
1665;2574275.0;1156998.0;FR;Estavannens
1666;2572275.0;1154346.0;FR;Grandvillard
1667;2572601.0;1157195.0;FR;Enney
1669;2570146.6;1150590.0;FR;Albeuve
1670;2554602.333;1165260.333;FR;Bionnens
1673;2552438.2;1161266.0;FR;Auboranges
1674;2553180.667;1166381.333;FR;Montet (Glâne)
1675;2554783.442;1162730.931;FR;Mossel
1676;2558480.0;1166889.0;FR;Chavannes-les-Forts
1677;2556898.0;1165308.0;FR;Prez-vers-Siviriez
1678;2556991.0;1167554.0;FR;Siviriez
1679;2559616.0;1167925.0;FR;Villaraboud
1680;2561334.735;1171554.162;FR;Berlens
1681;2558094.5;1170717.0;FR;Billens
1682;2557663.2;1173260.0;VD;Cerniaz VD
1683;2554634.667;1169625.667;VD;Brenles
1684;2560928.0;1169668.0;FR;Mézières FR
1685;2561913.0;1168057.0;FR;Villariaz
1686;2563316.0;1170056.0;FR;Grangettes-près-Romont
1687;2561802.0;1166907.667;FR;Estévenens
1688;2559253.5;1165192.5;FR;Lieffrens
1689;2565275.0;1169735.0;FR;Le Châtelard-près-Romont
1690;2562715.803;1174221.509;FR;Lussy FR
1691;2563645.0;1176594.0;FR;Villarimboud
1692;2564501.0;1172017.0;FR;Massonnens
1694;2566409.25;1173374.5;FR;Chavannes-sous-Orsonnens
1695;2568387.5;1173609.25;FR;Estavayer-le-Gibloux
1696;2570615.0;1172824.0;FR;Vuisternens-en-Ogoz
1697;2560328.5;1163707.0;FR;La Joux FR
1699;2556233.0;1161323.333;FR;Bouloz
1700;2578461.819;1183832.822;FR;Fribourg
1712;2583246.835;1184939.451;FR;Tafers
1713;2586621.98;1185525.18;FR;St. Antoni
