OBJECTID;EGID;NO_AUTOR;CATEGORIE_BATPRO;NOMBAT;DESTINATION;NOMENCLATURE;NOMEN_CLASSE;NIVEAUX_HORSOL;NIVEAUX_SSOL;HAUTEUR;DATEDT;TYPE;GENRE;COMMUNE;SHAPE.AREA;SHAPE.LEN
1579;295526845;DD 321052;Bâtiment;;Autre bât. 20m2 et plus;5.1;Autre bâtiment;0;2;6.8;20220829105321;Nouveau;Sous-sol;Plan-les-Ouates;5248.17107441;495.270022606283
1580;295526844;DD 321052;Bâtiment;;Autre bât. 20m2 et plus;5.1;Autre bâtiment;0;1;3.75;20220829105321;Nouveau;Sous-sol;Plan-les-Ouates;1850.9500083;219.505565346383
1581;295527551;DD 324185/1;Bâtiment;;Hab plusieurs logements;1.3.1;Habitation;7;1;22.22;20230124092934;Nouveau;Hors-sol;Genève-Petit-Saconnex;2260.05608645;278.859148379225
1582;295526829;DD 321052;Bâtiment;;Autre bât. 20m2 et plus;5.1;Autre bâtiment;0;1;3.65;20220829105321;Nouveau;Sous-sol;Plan-les-Ouates;2421.83977465;383.251747036934
1583;295526838;DD 321052;Bâtiment;;Autre bât. 20m2 et plus;5.1;Autre bâtiment;0;1;3.75;20220829105838;Nouveau;Sous-sol;Plan-les-Ouates;247.02836613;79.3317797976552
1584;295521619;DD 112325;Bâtiment;;Habitation un logement;1.1.1;Habitation;2;0;6;20190218142950;Nouveau;Hors-sol;Lancy;66.92609224;34.08000147086
1585;295521638;APA 302965/1;Bâtiment;;Bureaux des OIG;4.12.3;Equipement collectif;2;0;5.6;20190219115720;Nouveau;Hors-sol;Genève-Petit-Saconnex;331.20695274;78.9199041613801
1586;295521620;DD 112325;Bâtiment;;Autre bât. 20m2 et plus;5.1;Autre bâtiment;0;1;2.8;20190218153229;Nouveau;Sous-sol;Lancy;715.119418635;144.265441533767
1587;295528836;DD 330186;Bâtiment;;Hab plusieurs logements;1.3.1;Habitation;8;0;23.96;20240108195146;Nouveau;Hors-sol;Genève-Petit-Saconnex;327.79136658;78.3873726648319
1588;3131808;DD 112708;Bâtiment;;Habitation un logement;1.1.1;Habitation;2;1;6.99;20190611143746;Transformation;Hors-sol;Laconnex;94.991324955;40.1220134824282
1589;295522251;APA 48961;Bâtiment;;Garage privé;5.2;Autre bâtiment;1;0;2.55;20190617153133;Nouveau;Hors-sol;Plan-les-Ouates;12.99959426;15.1997977947528
1590;1002474;DD 112681;Bâtiment;;Hab plusieurs logements;1.3.1;Habitation;3;1;10.5;20190618135114;Transformation;Hors-sol;Bernex;164.430530035;53.300327234535
1591;1002472;DD 112681;Bâtiment;;Hab plusieurs logements;1.3.1;Habitation;3;1;10.5;20190618135146;Transformation;Hors-sol;Bernex;161.427355665;55.8156464340237
1592;295521006;DD 111419;Bâtiment;;Habitation un logement;1.1.1;Habitation;2;1;6;20181004114247;Nouveau;Hors-sol;Anières;88.06733432;38.9198482720651
1593;295521007;DD 111419;Bâtiment;;Habitation un logement;1.1.1;Habitation;2;1;6;20181004114254;Nouveau;Hors-sol;Anières;82.04055248;37.9398795997102
1594;295521008;DD 111419;Bâtiment;;Habitation un logement;1.1.1;Habitation;2;1;6;20181004114301;Nouveau;Hors-sol;Anières;88.19059153;38.9398901796236
1595;295521019;DD 111943;Bâtiment;;Hab plusieurs logements;1.3.1;Habitation;3;0;9.34;20181011111136;Nouveau;Hors-sol;Vandoeuvres;365.02107054;79.5261529119056
1596;295521020;DD 111943;Bâtiment;;Hab plusieurs logements;1.3.1;Habitation;3;0;9.34;20181011140434;Nouveau;Hors-sol;Vandoeuvres;363.017376625;79.3438536614955
1597;295521021;DD 111943;Bâtiment;;Hab plusieurs logements;1.3.1;Habitation;3;0;9.34;20181011140435;Nouveau;Hors-sol;Vandoeuvres;265.90719752;72.0018895193651
1598;295521022;DD 111943;Bâtiment;;Hab plusieurs logements;1.3.1;Habitation;3;0;9.34;20181011140435;Nouveau;Hors-sol;Vandoeuvres;278.65983171;75.6576959126653
1809;295521865;DD 112464/2;Bâtiment;;Hab plusieurs logements;1.3.1;Habitation;3;0;9;20201209091058;Nouveau;Hors-sol;Pregny-Chambésy;243.72230245;65.9163286896516
