EGID;VOLUME;SURFACE_TOTALE;SURFACE_PARTAGE;SURFACE_TOTALE_HS;DATE_LEVE;OBJECTID
1002207;4561.969;1148;303.45;1071.081;20230301;78953
1028901;552.681;233;64.38;227.309;20230301;78954
1021622;6264.117;1535;157.15;1530.595;20230301;78955
295519448;505.947;216;45.21;211.956;20230301;78956
1010019;1092.423;444;195.62;415.096;20230301;78957
1016542;521.229;250;85.52;244.953;20230301;78958
295516356;673.506;244;58;230.25;20230301;78959
1021777;4552.754;1025;196.83;899.498;20230301;78960
1022206;659.485;261;0;250.743;20230301;79103
295524617;1827.557;314;0;293.305;20230301;79104
295101370;43.318;43;14.28;30.759;20230301;79105
1010992;1839.329;428;35.05;421.9;20230301;79106
1009302;497.696;261;184.74;258.278;20230301;79107
295515605;9503.991;2876;412.04;2857.569;20230301;79108
295512114;2880.746;917;0;506.291;20230301;79109
295010195;519.656;227;0;220.37;20230301;79110
295521039;545.468;224;66.29;219.256;20230301;79111
1002642;495.425;214;57.07;212.47;20230301;79112
295518775;4314.556;1276;255.22;1269.13;20230301;79256
1022242;660.499;240;16.76;233.857;20230301;79257
2376341;539.598;245;73.9;237.267;20230301;79258
295521183;22.582;31;18.92;29.321;20230301;79259
295088387;222.21;103;10.21;98.7;20230301;79260
1002496;1965.449;553;54.97;514.353;20230301;79261
295094243;153.814;84;12.4;81.524;20230301;79262
295522179;675.116;215;0;206.103;20230301;79263
295525381;23.939;39;0;35.697;20230301;79264
295157955;698.538;315;168.1;211.945;20230301;79404
295526986;13.771;23;0;20.861;20230301;79405
295524591;101.987;87;5.07;79.8;20230301;79406
295525505;17.294;26;0;25.957;20230301;79407
295525649;649.41;236;154.33;210.022;20230301;79408
295517738;74.312;72;0;24.531;20230301;79409
295525984;117.176;104;0;101.604;20230301;79410
295076457;3114.505;615;149.81;557.673;20230301;79411
1021878;15856.571;3537;765.4;3516.332;20230301;79412
295088659;142.491;72;0;70.29;20230301;79413
295516432;46.613;50;0;49.916;20230301;79414
295084206;16.148;16;0;9.246;20230301;79415
295081582;39.898;38;0;36.783;20230301;79416
295072355;139.997;109;44.33;104.666;20230301;79571
1022734;2069.391;519;0;473.345;20230301;79572
295515892;578.567;253;70.21;247.149;20230301;79573
295060045;26597.281;3715;0;3364.695;20230301;79574
295080890;81.573;68;24.61;65.434;20230301;79575
295528446;87.575;56;0;53.514;20230301;79576
295520229;109.877;71;17.58;67.321;20230301;79577
1023458;847.002;307;172.77;302.006;20230301;79578
295010337;820.576;292;95.25;239.529;20230301;79579
1022742;1136.505;344;16.53;328.456;20230301;79702
1027561;2525.46;533;0;503.866;20230301;79703
1023831;392.977;157;0;146.471;20230301;79704
2375509;397.838;180;13.72;179.041;20230301;79705
1027329;773.731;218;0;209.893;20230301;79706
295098013;463.883;234;5.44;215.764;20230301;79707
295520202;707.745;316;136.64;313.877;20230301;79708
1027257;816.407;262;0;192.169;20230301;79709
295526066;14.563;23;0;21.666;20230301;79827
295099526;159.218;114;0;111.394;20230301;79828
1023288;725.26;275;39.67;211.306;20230301;79829
1019125;12404.382;1863;25.5;1767.984;20230301;79830
295091122;3003.972;843;101.96;823.059;20230301;79831
295093215;41.72;38;0;34.613;20230301;79832
1022361;671.386;237;0;211.98;20230301;79833
295071500;98.812;77;0;73.707;20230301;81187
295086487;1259.927;378;42.31;354.216;20230301;81188
295519574;2768.675;777;122.6;769.868;20230301;81189
1003351;2161.409;470;109.25;456.473;20230301;81190
295089286;341.485;141;53.44;134.786;20230301;81191
1014586;9503.066;1938;868.69;1930.388;20230301;81192
295514589;125.745;74;0;70.346;20230301;81193
295519660;531.473;244;76.75;236.447;20230301;81194
3131475;1096.267;380;0;367.642;20230301;81195
295071617;14968.118;1860;0;1780.231;20230301;79949
1027140;901.052;272;0;198.363;20230301;79950
295523219;630.667;286;28.15;276.926;20230301;79951
295518047;8025.245;1583;350.44;1558.867;20230301;79952
295520569;82.416;61;16.83;60.207;20230301;79953
295072571;960.923;495;114.25;310.075;20230301;79954
295526631;49.012;47;0;45.609;20230301;79955
295514670;587.123;273;89.03;269.903;20230301;79956
1022649;712.598;233;0;216.352;20230301;79957
295521918;6989.304;1699;0;1670.596;20230301;80097
295518467;45.72;38;0;36.935;20230301;80098
295519551;521.392;235;55.76;227.211;20230301;80099
295517398;27.14;28;0;27.038;20230301;80100
295525748;94.752;66;0;62.49;20230301;80101
1023105;859.808;272;135.66;216.677;20230301;80102
295514306;86.44;61;0;59.34;20230301;80103
1032283;1514.165;442;0;321.926;20230301;80104
295050415;1034.47;416;18.58;406.483;20230301;80249
2749885;1201.904;385;110.38;374.366;20230301;80250
295528534;46.496;57;31.21;55.222;20230301;80251
295087440;112.58;75;0;64.773;20230301;80252
295521116;273.398;130;0;126.556;20230301;80253
295096059;160.436;98;0;89.142;20230301;80254
2034860;4342.756;1035;259.57;1016.858;20230301;80390
295526461;30.998;36;0;32.917;20230301;80391
295516945;9736.482;2240;0;2005.14;20230301;80392
295524075;154.814;92;17.61;91.459;20230301;80393
295516058;54.312;46;0;44.541;20230301;80394
1002981;2507.57;808;249.69;803.802;20230301;80395
295523404;100.141;65;0;63.879;20230301;80396
295520709;1049.423;370;141.35;367.866;20230301;80397
295076573;59.162;58;5.01;56.78;20230301;80398
295525561;63.914;55;0;43.414;20230301;80399
295527156;35.255;42;12.59;41.093;20230301;80400
295074778;96.907;57;28.91;25.595;20230301;80401
295512371;679.929;263;90.02;260.758;20230301;80551
295526718;64.428;61;24.48;58.715;20230301;80552
295104773;24.107;7;2.73;5.6;20230301;80553
295089225;98.25;80;54.85;80.31;20230301;80554
295523535;4331.896;1406;37.52;1218.793;20230301;80555
295519368;567.044;246;139.92;244.379;20230301;80556
295518744;35.22;42;21.15;41.09;20230301;80557
295517365;690.5;336;47.68;288.569;20230301;80558
1023519;1199.661;407;0;377.971;20230301;80559
